Product Name,SKU,Price,Description,Image URL,Link
"2017 Vignerons des Terres Secrètes Bourgogne Blanc ""Les Préludes""",1423106,$9.99,"96 points Decanter: ""*Decanter World Wine Awards 2019 Gold Medal Winner* Deliciously ripe pear, apricot, citrus and exotic melon underpinned by a lean, mineral purity; vibrant and fresh with a mouthwatering juiciness and a very long finish."" (09/2019)   K&L Notes: Vignerons des Terres Secretes is a winemaking cooperative in the Mâconnais comprising members who seek out the most ""secret"" or unknown plots of earth from which to make their distinctive wines.",https://cdn.klwines.com/images/skus/1423106m.jpg,https://www.klwines.com/p/i?i=1423106&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=11
Russell's Reserve 15 Year Old '2024 Release' Barrel Proof Nonchillfiltered Kentucky Straight Bourbon Whiskey (750ml),1760946,$350.00,,https://cdn.klwines.com/images/skus/shiner_spirits_m.jpg,https://www.klwines.com/p/i?i=1760946&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=12
Pierre Mineral Brut Champagne,1267214,$37.99,"This balanced, elegant Champagne is composed of 30% Chardonnay, 60% Pinot Noir and 10% Meunier. The grapes are all from the Gonet family's estate, spread from the southernmost 1er cru of Vertus to the valley of the Marne. It is a gorgeous wine to toast with: bready, vibrant and flavorful. - Gary Westby, K&L Champagne buyer",https://cdn.klwines.com/images/skus/1267214m.jpg,https://www.klwines.com/p/i?i=1267214&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=13
"Pierre Mineral Mesnil ""Vieillie En Fût"" Grand Cru Brut Blanc de Blancs Champagne",1267210,$49.99,"This Champagne is made entirely from selected grand cru estate fruit from the village of Mesnil. It is fermented and aged in 600-liter new-oak casks before being bottled and aged four years on the lees. It has a super rich nose of vanilla, sourdough toast, and Mesnil minerals. In the mouth it's very racy and dry, not nearly as broad as the rich nose suggests. I think this is one of the ultimate lobster Champagnes in our stock, and will repay five years of cellaring with a gorgeous drink. If you love Selosse's Origine and Tarlant's Cuvée Louis, this is on...",https://cdn.klwines.com/images/skus/1267210m.jpg,https://www.klwines.com/p/i?i=1267210&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=14
2021 Alta Maria Santa Maria Valley Pinot Noir (Elsewhere $26),1770057,Hidden,"91 points Wine Enthusiast: ""Tart cranberry, raspberry and pomegranate aromas meet with a charcuterie smoke and cracked peppercorn on the nose of this bottling. The palate is very Santa Maria in style, pairing well with the region's famous oak-grilled fare: sagebrush and game, wild cherry and pomegranate, with a white pepper spice. (MK)"" (09/2024)",https://cdn.klwines.com/images/skus/shiner_red_burgundy_m.jpg,https://www.klwines.com/p/i?i=1770057&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=15
True Double Hinge Stainless Steel Corkscrew-2282,1077381,$7.49,,https://cdn.klwines.com/images/skus/shiner_na-m.jpg,https://www.klwines.com/p/i?i=1077381&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=16
W. L. Weller Full Proof Bourbon Whiskey (750ml),1408182,$99.99,"Produced by the Buffalo Trace Distillery with a proof of 114 and aged for at least four years. From the distiller: ""William Larue Weller developed his original bourbon recipe with wheat, rather than rye. Bottled at the same 114 proof the spirit was when it entered into the barrel, this non-chill filtered wheated bourbon forgoes chill filtration to preserve all the naturally occurring residual oils and flavors that occur during the distillation and aging process (potentially making it appear cloudy at cold temperatures). This bourbon balances a rich mouth...",https://cdn.klwines.com/images/skus/shiner_spirits_m.jpg,https://www.klwines.com/p/i?i=1408182&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=17
"2019 Derby Estate ""Fifteen 10"" Templeton Gap District Paso Robles Red Blend (Previously $34)",1787239,Hidden,"91 points James Suckling: ""Bright and agile red fruit with a hint of dried strawberries that give it a certain amount of generosity. Some cumin spice and white pepper, too. Elegant and medium-bodied on the palate, showing some fine, dusty tannins and a juicy, sweet berry-oriented finish. 72% grenache, 13% syrah, 6% cinsault, 5% mourvedre and 4% counoise. "" (07/2022)",https://cdn.klwines.com/images/skus/genericred-m.jpg,https://www.klwines.com/p/i?i=1787239&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=18
2016 Egrot Grand Cru Brut Champagne,1664466,$49.99,"Elisabeth Goutorbe and her husband Jean-Marie Egrot run their tiny production Champagne house almost entirely by themselves. They get very little help from their cat Maurice, but can rely on Elisabeth’s father, René Goutorbe of Champagne Henri Goutorbe for a little bit of help. Of the 15 acres they own in Aÿ, Louvois, Tauxieres and Mutigny, they only keep the fruit from their 2.5 best—mostly in Aÿ, but also a touch of Louvois Chardonnay for balance. This vintage wine is entirely Aÿ Grand Cru, 2/3 Pinot Noir and 1/3 Chardonnay. This cooler vintage, combin...",https://cdn.klwines.com/images/skus/1664466m.jpg,https://www.klwines.com/p/i?i=1664466&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=19
"2021 Nalle ""Ranch Red"" Dry Creek Valley Red Blend",1782639,$34.95,"About the producer: ""Nalle Winery is about as ""family"" as it gets. Son Andrew runs the joint, while father and mother Doug and Lee Nalle give wisdom from 31 years of winery experience. Younger son Sam, a scientist in San Francisco, gives encouragement and support. Then there's our bevy of friends who magically appear at the right moment to lend a hand. Steve Edgar, from Arizona, still shows up for crush, and has, since 1991. Our winery and home rest on land that has been in Lee's family, the Henderlongs, since 1927. Her cousins, the Saini family, run the...",https://cdn.klwines.com/images/skus/genericred-m.jpg,https://www.klwines.com/p/i?i=1782639&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=20
1992 Domaine Daniel Rion & Fils Clos Vougeot Grand Cru,1786343,$1.00,,https://cdn.klwines.com/images/skus/genericred-m.jpg,https://www.klwines.com/p/i?i=1786343&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=21
"2000 Grand-Puy-Lacoste, Pauillac (nicked capsule, lightly bin soiled)",1786344,$1.00,,https://cdn.klwines.com/images/skus/genericred-m.jpg,https://www.klwines.com/p/i?i=1786344&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=22
"1976 Cos d'Estournel, St-Estèphe (very high shoulder, lightly nicked label)",1786345,$1.00,,https://cdn.klwines.com/images/skus/genericred-m.jpg,https://www.klwines.com/p/i?i=1786345&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=23
"2000 Chateau St Georges, St George-St.-Emilion",1786346,$1.00,,https://cdn.klwines.com/images/skus/genericred-m.jpg,https://www.klwines.com/p/i?i=1786346&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=24
2008 Scarecrow Napa Valley Cabernet Sauvignon (depressed cork),1786347,$1.00,,https://cdn.klwines.com/images/skus/genericred-m.jpg,https://www.klwines.com/p/i?i=1786347&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=25
2019 Pierre Paillard Taissy 1er Cru Champagne,1726471,$99.99,,https://cdn.klwines.com/images/skus/1726471m.jpg,https://www.klwines.com/p/i?i=1726471&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=26
"2023 D'Haurets Bordeaux Blanc, Bordeaux",1785462,$12.99,,https://cdn.klwines.com/images/skus/shiner_white_m.jpg,https://www.klwines.com/p/i?i=1785462&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=27
"2019 La Rose du Pin, Bordeaux",1785463,$12.99,,https://cdn.klwines.com/images/skus/genericred-m.jpg,https://www.klwines.com/p/i?i=1785463&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=28
"2022 Domaine Alain et Cyril Gautheron Chablis 1er Cru ""Mont de Milieu""",1730469,$34.99,"94 points Tim Atkin: ""Cyril purchased these east-facing, ""50 ares and another five rows"" in 2014. The top part was frosted in 2022, but the remaining wine is a treat. Meyer lemon, chamomile and white currants dazzle with their purity and freshness. Mouthwatering acidity laces up the mediumbodied palate."" (01/2024)   92 points Decanter: ""Cool, restrained nose. Typical Mont de Milieu, with plenty of peachy ripe fruit, freshened by crisp citrus acidity and a mineral edge to finish. Alain Gautheron is based in Fleys.(AH)"" (10/2023)   89-92 points Jasper Mor...",https://cdn.klwines.com/images/skus/1730469m.jpg,https://www.klwines.com/p/i?i=1730469&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=29
"2022 Boissy & Delaygue ""Lou Pontias"" Côtes-du-Rhône Blanc",1776130,$11.99,"Produced by the Union des Vignerons des Côtes du Rhône, the Boissy & Delaygue represents specific parcel selections from top growing areas overseen by the Union.",https://cdn.klwines.com/images/skus/shiner_white_m.jpg,https://www.klwines.com/p/i?i=1776130&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=30
2022 Chateau de Beauregard Pouilly-Fuisse,1759769,$36.99,"89-91 points Burghound: ""Note: mostly from Fuissé fruit with the addition of a small percentage of Vergisson. Subtle if still easily perceptible oak sets off ripe and fresh aromas of essence of pear, citrus confit and pretty floral nuances. There is excellent energy to the appealingly precise medium weight flavors that deliver solid length on the bitter zest-inflected finish. This could use better depth but the potential aging curve should allow for that to occur."" (10/2023)   91 points Jasper Morris: ""Frédéric has been trying to bring the Château blend ...",https://cdn.klwines.com/images/skus/shiner_white_burgundy_m.jpg,https://www.klwines.com/p/i?i=1759769&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=31
"2018 Sportoletti ""Villa Fidelia"" Rosso",1787226,$14.99,"James Suckling: ""Aromas of blackberries, dark spices, resin, chocolate and leather. Racy, spiced palate with a medium to full body and chalky tannins. Juicy finish with notes of walnut. "" (03/2023)   K&L Notes: The Sportoletti ""Villa Fidelia"" Rosso is a prestigious Umbrian blend from the Sportoletti family estate, located near Assisi, in the heart of Italy. Known for producing high-quality wines that bridge traditional and modern styles, the estate meticulously crafts the Villa Fidelia Rosso from a blend of Merlot, Cabernet Sauvignon, and Cabernet Franc....",https://cdn.klwines.com/images/skus/genericred-m.jpg,https://www.klwines.com/p/i?i=1787226&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=32
2018 Vigneti Massa Piccolo Derthona,1442930,$16.99,"Vinous: ""The 2018 Piccolo Derthona is a gorgeous introduction to these distinctive whites. Lemon oil, sage, almond, mint and dried flowers are finely knit in this delicious, alluring white from Massa. This pretty, inviting white will drink well over the next few years. (AG)"" (03/2020)",https://cdn.klwines.com/images/skus/1442930m.jpg,https://www.klwines.com/p/i?i=1442930&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=33
"2000 Cantemerle, Haut-Médoc",1003865,$69.99,"91 points Wine Spectator: ""Opulent red. Intense aromas of currants, cigar tobacco and berries. Full-bodied, with a solid core of silky tannins and a long finish. Well-made. "" (03/2003)   90 points James Suckling: ""A wine at its peak now, with tobacco, berry and spice character. Some oyster shell as well. Full and decadent. Soft and silky-textured."" (07/2013)   Wine Advocate: ""This fully mature, elegant 2000 tails off slightly in the finish. Notes of forest floor, bay leaf, licorice, red currants, and cranberries are offered in a Burgundian-like, fresh, v...",https://cdn.klwines.com/images/skus/1003865m.jpg,https://www.klwines.com/p/i?i=1003865&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=34
Eagle Rare 10 Year Old Kentucky Straight Bourbon Whiskey (750ml),1023471,$49.99,"Whisky Advocate: ""Sweet candy shop, nougat, and honeycomb flavors are underscored by some funky earth and mushroom notes. The palate is sweet and lively, delivering orange peel and subtle hints of baking spice. Overall a pleasant pour, with the only criticism that it feels rather light-bodied, with the oak a bit sharp. Adding water makes this bourbon feel underpowered and hollow, but it is a fine sipper otherwise. (JL, Summer 2019)""  Wine Enthusiast: ""Ten years of barrel time has created a concentrated caramel scent and palate spiked with sarsaparilla an...",https://cdn.klwines.com/images/skus/1023471m.jpg,https://www.klwines.com/p/i?i=1023471&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=35
Blanton's Original Single Barrel Bourbon Whiskey (1 bottle limit) (750ml),630018,$79.99,"96 points Wine Enthusiast: ""Bold and well structured, this Bourbon features warming vanilla and caramel accented by orange peel, stone fruit and a dry baking-spice finish. Sip it with a chunk of ice, or mix up a round of juleps. The trademark round, faceted bottle with the horse-topped cork is perfect for Derby Day. (KN)"" (09/2014)   Wine Spectator: ""Custard, pepper, orange peel and grassy rye fill the nose. In the mouth, it's a breakneck ride: an initial rush of dry corn and grassy rye, a broad wave of sweeter corn in the middle, and a finish of sugar a...",https://cdn.klwines.com/images/skus/630018m.jpg,https://www.klwines.com/p/i?i=630018&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=36
"2018 Bonny Doon Vineyard ""Le Cigare Volant - Cuvée Oumuamua"" Monterey County Rhône Blend",1443165,$18.95,"93 points Wine Enthusiast: ""Randall Grahm’s ever-evolving ideology shifted again for the new label and blend of this bottling, which includes 52% Grenache, 35% Cinsault and 13% Syrah. Aromas of plum, cracked pepper, crumpled carnations and dried mint lead into a bright, refreshing palate of hibiscus, anise and a curry-like spice. *Top 100 Wines of 2019* (MK)"" (10/2019)   91 points Vinous: ""Deep, shimmering red. Displays lively red berry, cherry and floral qualities on the nose, along with building suggestions of exotic spices and succulent herbs. Juicy a...",https://cdn.klwines.com/images/skus/1443165m.jpg,https://www.klwines.com/p/i?i=1443165&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=37
2022 Domaine Séguinot Bordet Chablis Vieilles Vignes,1688895,$32.99,"90 points Burghound: ""This also exhibits fine Chablis typicity with its array of green fruit, iodine and wet stone, all of which is set off by just sliced citrus nuances. The old vines are in evidence are there is fine mid-palate density to the medium weight flavors that coat the palate with sappy dry extract that also buffers the slightly firmer acid spine shaping the impressively persistent and quinine-inflected finale. This is also very good for its level. *Top Value!*"" (10/2023)   Vinous: ""The 2022 Chablis Vieilles Vignes comes from 86-year-old vines...",https://cdn.klwines.com/images/skus/1688895m.jpg,https://www.klwines.com/p/i?i=1688895&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=38
"2022 Domaine Alain et Cyril Gautheron Chablis 1er Cru ""Vaucoupin""",1765817,$34.99,"91-93 points Jasper Morris: ""All has been made in stainless steel. The bouquet offers greengage fruit, certainly not overripe. Good tension, with lemon and lime, a little youthful bitterness, very promising in its classical Vaucoupin style. Drink from 2026-2032. "" (01/2024)   93 points Vinous: ""The 2022 Chablis Vaucoupin 1er Cru has potent sea scents on the nose and a tang of shucked oyster shells. The palate is well-balanced with a fine bead of acidity, fresh and saline. It is classical in style, with a reserved but compelling finish. Understated in the...",https://cdn.klwines.com/images/skus/shiner_white_burgundy_m.jpg,https://www.klwines.com/p/i?i=1765817&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=39
"2022 Domaine Alain et Cyril Gautheron Chablis 1er Cru ""Les Fourneaux""",1765818,$34.99,"93 points Decanter: ""Appealing and fresh, with an intriguing whiff of white pepper (à la Grüner Veltliner). Plenty of weight here and very nice purity. A rather different take, would be great to enjoy with food. Crisp, zesty finish.(CC)"" (10/2023)   90-92 points Jasper Morris: ""This comes from a steep south-facing section of the vineyard, known as La Côte. No wood has been used. A little more yellow colour. This shows ripeness, with a bit of liquorice, but has retained all its saline vigour, even a touch reductive. Very good length. Accessible but all in...",https://cdn.klwines.com/images/skus/shiner_white_burgundy_m.jpg,https://www.klwines.com/p/i?i=1765818&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=40
2022 Domaine Alain et Cyril Gautheron Chablis Vieilles Vignes,1730467,$23.99,"90-92 points Jasper Morris: ""Four plots making around 3ha. 80% in stainless steel and 20% in oak, sample prepared, actual blend will be before the harvest. A delightful very pale lime green. There is a little flesh apparent even on the nose from the age of the vines. Excellent tension behind, a searing chiselled white fruit, for once the old vine aspect really adds something rather than just making more concentrated. "" (09/2023)   K&L Notes: Bill Nanson Burgundy Report: ""Vines older than 55 years, provenance of those grapes the same as for the last wine....",https://cdn.klwines.com/images/skus/1730467m.jpg,https://www.klwines.com/p/i?i=1730467&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=41
Brook Hill 15 Year Old Kentucky Straight Bourbon Whiskey (750ml),1786646,$599.99,,https://cdn.klwines.com/images/skus/shiner_spirits_m.jpg,https://www.klwines.com/p/i?i=1786646&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=42
"Blanton's ""Straight from the Barrel"" Single Barrel Bourbon (750ml)",1311252,$200.00,"From Buffalo Trace Distillery, Blanton's holds the historic distinction of being the world's first single-barrel whiskey. From the producer: ""Created for connoisseurs familiar with cask strength whiskeys, this enormous taste profile reaches depths of flavor found only in the rarest of spirits. The high alcohol by volume is intense and powerful yet inviting. The complexity of rye, caramel, oak, honey and vanilla coat your palate followed by a legendary finish. Straight from the barrel is best served neat or with a splash of water.""",https://cdn.klwines.com/images/skus/generated_638142600886875130_1311252m.jpg,https://www.klwines.com/p/i?i=1311252&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=43
"2022 Domaine Gérard Tremblay Chablis Grand Cru ""Vaudésir""",1732757,$59.99,"91 points Decanter: ""Smoky, flinty aromas with white flower notes. The palate has a creamy texture followed by lingering acidity and a powerful, long finish. *2024 Decanter World Wine Awards Silver Medal Winner!* "" (06/2024)   Jancis Robinson: ""Precise, fresh, concentrated, very subtle oak which is less evident than in the Fourchaume. (AWH)"" (01/2024)   K&L Notes: Gerard Tremblay is officially en retrait, although his retirement is like that of many growers in that he continues to work, both in the vineyards and the cellar. His son Vincent Tremblay has n...",https://cdn.klwines.com/images/skus/shiner_white_burgundy_m.jpg,https://www.klwines.com/p/i?i=1732757&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=44
2023 Domaine Gérard Tremblay Chablis,1732753,$23.99,"Gerard Tremblay is officially en retrait, although his retirement is like that of many growers in that he continues to work, both in the vineyards and the cellar. His son Vincent Tremblay has now taken over the reins. They farm an impressive 35 hectares (about 90 acres) of vines, in appellations from Petite Chablis to Grand Cru Vaudesirs. The wines are terrific and extremely well-priced. Tremblay’s style is to press very carefully and slowly, to avoid extracting harsh or green tannins from the seeds. Then after a 24-hour settling, the wine is racked gent...",https://cdn.klwines.com/images/skus/shiner_white_burgundy_m.jpg,https://www.klwines.com/p/i?i=1732753&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=45
"2022 Domaine Gérard Tremblay Chablis 1er Cru ""Fourchaume""",1676077,$29.99,"93 points Decanter: ""TOP VALUE. Gerard Tremblay and his wife Hélène own this 37ha domaine. Cool notes on the nose and palate - just a hint of lanolin and some green apple characters. Plenty of concentration on the palate though with acidity and a fine stony finish adding lots of drive and complexity. A classy and distinctive Fourchaume. (AH)"" (12/2023)   Jancis Robinson: ""That oak works so well with the extra ripeness of fruit in 2022, yet the acidity reminds you that you are tasting Chablis. Balanced, exciting, good alternative to more expensive wines f...",https://cdn.klwines.com/images/skus/1676077m.jpg,https://www.klwines.com/p/i?i=1676077&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=46
